Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,PatternBits,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,1024,No,0.000474957,8,11,0.27858324581818183,0.00024950807597771854,0.27856700272993606,0.0002492248926491174,3589800623.189659,12,0.278498903910319
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,2048,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,1,No,0,128,7,2.3754008337142856,3.337193438534076e-07,2.3753864746093747,3.4088046632711975e-07,420984126.4522848,7,2.3500126953125
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,2,No,0,128,7,2.359200404285714,0.005036041902117127,2.359186000279018,0.005036239268122536,423875014.46758807,7,2.3753881835937496
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,4,No,3e-09,128,7,2.375159601714286,0.00019093543405994612,2.3751453683035715,0.00019117096528678963,421026861.4902683,7,2.37532470703125
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,8,No,2e-09,128,7,2.358627442571429,0.0006690227675662729,2.358612095424107,0.0006692766932607893,423978153.05877495,7,2.3638512137276786
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,16,No,2e-09,128,7,2.375199573714286,0.00025003209863830946,2.3751858258928573,0.0002498851256622813,421019689.95377004,7,2.3666620744977673
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,32,No,7e-09,128,7,2.3714313152857147,0.0008400938750536422,2.371416817801339,0.0008402295522913886,421688837.0249271,7,2.3730560825892857
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,64,No,2e-09,128,7,2.3746729490000003,0.0005053168652820211,2.3746569824218753,0.0005052109564841723,421113452.3438058,7,2.373946114676339
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,128,No,2e-09,128,7,2.3749631370000004,0.00021912838714322055,2.3749482770647323,0.0002189845259839235,421061801.4957063,7,2.374831996372768
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,256,No,4e-09,128,7,2.375480749571429,4.659018110543701e-05,2.3754647739955357,4.677452281457361e-05,420970250.09467864,7,2.385055454799107
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,512,No,5e-09,128,7,2.3755472562857145,8.928883750940751e-06,2.3755318080357144,8.93036299779602e-06,420958370.9286901,7,2.381498291015625
